 	Area	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	157.250	0.680	18.062	1535.000	0.500	131.634	13.500	1.101	0.908	0.937
2	2059.750	0.771	62.097	753.500	16.500	165.069	46.697	1.314	0.761	0.972
3	1961.500	0.842	57.871	727.000	65.000	71.878	46.923	1.139	0.878	0.972
4	5428.500	0.709	114.657	1494.500	83.500	19.620	63.449	1.896	0.528	0.947
5	374.000	0.699	29.262	2328.000	34.000	33.147	16.000	1.515	0.660	0.970
6	606.750	0.645	42.521	2293.500	19.500	131.186	20.829	2.021	0.495	0.946
7	1105.250	0.682	52.787	2247.000	35.500	174.019	29.766	1.741	0.574	0.955
8	800.750	0.744	42.030	2405.000	57.500	32.367	29.009	1.498	0.667	0.955
9	1848.250	0.782	60.618	814.500	32.500	118.045	44.729	1.306	0.765	0.972
10	1916.000	0.744	59.112	2327.000	35.500	125.707	44.136	1.357	0.737	0.932
11	737.250	0.793	35.920	2441.000	36.000	141.216	27.507	1.233	0.811	0.957
12	774.750	0.649	47.011	665.000	51.000	178.781	23.826	1.753	0.570	0.945
13	4460.750	0.785	87.116	2299.000	42.000	92.961	72.408	1.149	0.870	0.966
14	3352.500	0.809	74.475	728.000	65.500	147.057	58.971	1.205	0.830	0.971
15	1540.000	0.839	53.397	2363.000	83.500	46.138	41.496	1.188	0.842	0.977
16	353.250	0.650	30.700	801.000	80.500	83.454	15.290	2.075	0.482	0.935
17	1446.000	0.796	52.010	663.500	104.000	88.898	40.558	1.154	0.866	0.948
18	1510.500	0.814	52.738	708.000	105.500	84.560	41.366	1.107	0.903	0.963
19	772.250	0.720	44.944	2401.000	79.000	20.854	24.596	1.781	0.561	0.956
20	1313.250	0.824	48.765	2445.000	90.000	15.461	39.888	1.195	0.837	0.969
21	2772.500	0.667	85.537	1514.500	87.500	1.675	44.226	2.096	0.477	0.971
22	274.000	0.720	24.546	2443.000	89.000	86.496	17.463	1.383	0.723	0.934
23	2627.500	0.797	65.401	801.500	82.000	143.393	56.452	1.123	0.890	0.976
24	91.000	0.673	15.524	2389.500	88.000	14.931	8.496	1.654	0.604	0.867
25	2115.500	0.825	65.521	2398.000	93.000	164.055	45.717	1.444	0.692	0.976
26	1753.250	0.792	63.295	685.000	83.500	99.090	39.169	1.490	0.671	0.968
27	568.500	0.808	31.851	1494.000	85.000	137.545	25.246	1.236	0.809	0.954
28	574.750	0.715	33.615	2343.500	105.000	30.379	24.659	1.310	0.763	0.946
29	3900.750	0.815	80.089	1549.000	137.000	28.325	64.608	1.205	0.830	0.979
30	1570.750	0.666	57.265	2312.000	141.000	61.869	34.770	1.536	0.651	0.919
31	2475.500	0.829	66.862	2223.000	148.000	62.860	49.645	1.259	0.795	0.977
32	589.750	0.767	34.907	2369.000	114.500	38.019	25.515	1.254	0.798	0.966
33	1589.500	0.753	56.189	712.500	134.000	29.302	41.202	1.247	0.802	0.964
34	1642.000	0.794	55.866	1406.000	97.000	135.725	40.597	1.279	0.782	0.970
35	62.500	0.609	12.619	2455.500	98.500	123.690	9.736	1.283	0.779	0.874
36	569.750	0.746	32.249	647.500	99.500	97.125	25.886	1.180	0.848	0.942
37	855.500	0.843	40.249	1487.500	99.500	116.565	31.000	1.205	0.830	0.973
38	119.750	0.716	17.000	2463.500	110.500	28.072	9.500	1.572	0.636	0.946
39	2190.000	0.809	67.136	752.000	162.000	55.008	44.902	1.338	0.747	0.975
40	623.250	0.669	39.284	1447.000	135.000	42.421	27.505	1.372	0.729	0.905
41	1391.000	0.772	51.928	1509.000	150.500	38.746	42.113	1.130	0.885	0.955
42	573.000	0.717	36.514	1704.000	143.500	88.431	25.503	1.302	0.768	0.940
43	1445.750	0.767	51.196	1358.500	128.500	167.593	40.924	1.066	0.938	0.965
44	316.250	0.651	31.241	2343.000	131.500	39.806	14.926	1.980	0.505	0.939
45	1825.500	0.803	55.707	2357.500	148.000	28.405	46.812	1.114	0.898	0.972
46	2811.000	0.831	69.300	581.500	123.000	171.285	53.080	1.293	0.774	0.979
47	454.250	0.733	30.602	2262.000	111.500	94.686	23.882	1.203	0.831	0.945
48	3979.500	0.795	84.978	2440.500	167.500	25.811	69.016	1.076	0.929	0.958
49	987.500	0.731	44.525	853.500	166.500	88.069	34.004	1.302	0.768	0.955
50	1176.500	0.733	52.595	651.500	132.000	150.998	32.958	1.555	0.643	0.960
51	1522.000	0.738	54.279	2408.000	123.500	121.054	41.037	1.072	0.933	0.966
52	416.250	0.746	32.280	1716.000	156.000	73.811	18.185	1.680	0.595	0.938
53	2699.250	0.759	74.841	2255.000	187.500	49.606	56.281	1.322	0.757	0.967
54	499.250	0.766	34.514	1447.500	137.000	1.660	22.130	1.468	0.681	0.946
55	1844.750	0.758	63.240	2160.000	154.500	4.989	40.904	1.509	0.663	0.934
56	1228.500	0.818	44.204	2518.000	131.000	142.352	38.994	1.004	0.996	0.964
57	169.250	0.697	19.526	902.000	129.500	92.936	13.384	1.171	0.854	0.898
58	268.250	0.659	27.722	1730.500	130.000	140.856	15.228	1.845	0.542	0.941
59	76.250	0.598	13.416	2256.500	131.500	116.565	10.994	1.271	0.787	0.863
60	485.000	0.781	29.125	823.000	133.000	145.491	23.660	1.164	0.859	0.950
61	1624.500	0.725	58.713	903.000	151.000	4.885	38.378	1.612	0.620	0.967
62	386.750	0.772	30.004	2329.000	145.000	23.575	18.826	1.519	0.658	0.960
63	111.000	0.690	16.651	809.500	144.500	41.348	10.071	1.527	0.655	0.907
64	113.000	0.677	18.200	795.000	140.500	20.925	10.000	1.720	0.581	0.912
65	420.750	0.833	26.120	711.500	135.000	95.492	22.692	1.090	0.917	0.957
66	520.500	0.655	35.934	720.000	142.500	148.079	24.797	1.311	0.763	0.947
67	4347.750	0.811	83.380	1423.000	217.000	73.630	72.543	1.114	0.898	0.967
68	550.750	0.831	31.409	1477.500	144.500	166.185	22.000	1.272	0.786	0.971
69	600.000	0.723	35.924	1547.500	137.000	98.807	22.274	1.381	0.724	0.920
70	997.500	0.637	51.152	1382.500	177.000	39.447	31.728	1.796	0.557	0.897
71	2530.500	0.783	66.590	793.500	141.000	100.382	54.400	1.149	0.870	0.942
72	142.000	0.678	19.812	891.000	161.000	79.824	12.000	1.454	0.688	0.930
73	711.500	0.729	41.140	2222.500	159.500	20.638	23.435	1.698	0.589	0.952
74	640.750	0.753	37.726	2312.000	142.500	124.743	26.341	1.286	0.777	0.960
75	179.750	0.707	19.812	875.000	158.500	42.955	14.500	1.411	0.709	0.949
76	221.250	0.748	22.192	1465.500	151.500	157.479	14.241	1.370	0.730	0.924
77	1155.500	0.738	47.927	1685.500	190.000	66.644	34.336	1.310	0.763	0.964
78	1157.500	0.764	48.417	1718.000	157.000	144.669	34.703	1.339	0.747	0.964
79	749.750	0.745	38.733	639.500	187.000	78.835	28.424	1.257	0.796	0.947
80	1284.750	0.722	49.980	1504.500	159.000	160.115	33.480	1.478	0.677	0.947
81	43.500	0.498	13.601	2147.000	155.500	17.103	6.187	2.291	0.437	0.831
82	2120.500	0.801	62.550	2340.000	153.500	140.839	47.668	1.235	0.810	0.975
83	333.250	0.676	26.707	831.500	171.500	51.843	18.025	1.316	0.760	0.927
84	3222.500	0.697	90.050	1616.500	197.000	29.982	53.696	1.479	0.676	0.941
85	969.250	0.713	43.046	585.500	187.500	30.735	34.416	1.034	0.967	0.954
86	1002.000	0.713	47.605	2120.500	182.000	36.027	27.673	1.820	0.549	0.960
87	468.500	0.828	27.830	554.500	168.000	17.784	24.333	1.103	0.906	0.950
88	201.250	0.678	23.119	895.000	176.000	68.429	14.193	1.349	0.741	0.906
89	1230.750	0.829	44.747	1579.500	178.000	18.232	39.662	1.102	0.907	0.971
90	1151.500	0.762	47.011	719.000	157.000	119.291	36.509	1.142	0.875	0.963
91	528.000	0.739	37.000	1554.000	174.500	18.925	22.482	1.575	0.635	0.944
92	1335.750	0.799	51.196	2400.000	156.500	102.407	32.365	1.454	0.688	0.971
93	2278.000	0.798	64.257	653.000	185.000	20.973	48.126	1.356	0.737	0.972
94	582.000	0.782	33.354	2535.000	170.000	156.125	26.015	1.189	0.841	0.949
95	1257.750	0.687	52.842	841.500	183.000	6.520	34.656	1.439	0.695	0.961
96	1969.750	0.692	61.321	1493.500	220.500	80.614	51.776	1.240	0.806	0.901
97	486.500	0.744	32.311	2513.000	160.000	111.801	22.662	1.473	0.679	0.947
98	200.250	0.779	19.660	2212.000	170.000	7.306	14.389	1.138	0.879	0.922
99	235.500	0.676	23.633	752.000	164.000	6.072	12.444	1.753	0.570	0.942
100	311.750	0.643	28.504	2160.000	175.000	21.615	17.467	1.669	0.599	0.934
101	546.250	0.714	36.003	2235.500	193.000	52.334	24.932	1.260	0.794	0.947
102	753.000	0.741	40.503	2188.000	165.000	118.780	26.767	1.346	0.743	0.950
103	901.500	0.724	45.880	613.500	209.000	69.590	29.679	1.667	0.600	0.928
104	227.500	0.774	21.219	2565.000	169.000	124.439	16.002	1.317	0.760	0.924
105	57.000	0.586	12.349	2423.000	177.500	31.759	9.261	1.206	0.829	0.892
106	6762.000	0.756	115.209	890.500	267.500	53.826	84.326	1.256	0.796	0.957
107	1742.250	0.827	53.388	2439.500	168.000	112.001	45.082	1.121	0.892	0.970
108	1085.750	0.804	42.027	552.500	168.500	92.045	34.881	1.093	0.915	0.966
109	127.500	0.559	20.012	832.000	173.000	12.995	11.738	1.736	0.576	0.880
110	2119.500	0.693	72.858	2488.500	240.000	78.921	45.390	1.510	0.662	0.947
111	218.750	0.631	26.575	2529.500	169.000	94.316	14.121	1.912	0.523	0.909
112	198.750	0.734	22.389	571.500	192.000	60.573	14.209	1.373	0.729	0.938
113	1068.250	0.667	53.254	2314.000	174.500	124.287	25.225	2.078	0.481	0.965
114	1489.500	0.809	50.065	743.000	198.000	171.384	42.129	1.071	0.934	0.973
115	666.000	0.730	37.125	1537.500	208.500	64.470	26.432	1.370	0.730	0.919
116	3122.250	0.765	83.096	2123.500	205.500	2.759	52.206	1.591	0.628	0.970
117	1751.000	0.767	55.913	1310.500	202.500	15.030	48.175	1.130	0.885	0.941
118	3233.000	0.744	81.059	1341.500	226.500	6.730	60.642	1.174	0.852	0.928
119	361.000	0.697	27.322	1563.500	201.000	55.437	19.997	1.255	0.797	0.934
120	640.000	0.715	39.459	1718.000	192.000	8.746	23.423	1.683	0.594	0.952
121	402.750	0.653	33.110	1756.000	194.500	14.876	16.820	1.852	0.540	0.935
122	383.250	0.693	30.480	2208.500	201.500	48.991	18.411	1.447	0.691	0.936
123	1877.000	0.684	68.427	2262.500	190.500	153.997	44.080	1.278	0.783	0.964
124	116.750	0.549	21.006	2468.000	197.500	38.234	9.955	1.896	0.527	0.882
125	4055.000	0.753	91.062	808.000	242.500	28.535	65.777	1.245	0.803	0.963
126	147.500	0.695	19.164	2120.500	184.000	97.496	11.852	1.537	0.651	0.906
127	183.250	0.728	18.927	2566.000	184.000	102.200	15.162	1.247	0.802	0.911
128	553.500	0.823	33.708	634.500	213.500	57.724	22.330	1.415	0.707	0.961
129	550.500	0.812	33.734	2532.000	196.000	168.024	23.688	1.326	0.754	0.948
130	181.250	0.638	21.477	606.500	187.000	102.095	11.622	1.742	0.574	0.915
131	910.500	0.741	44.060	2236.000	194.000	152.272	29.309	1.246	0.803	0.956
132	597.000	0.737	36.800	573.500	222.000	53.286	22.356	1.531	0.653	0.950
133	2618.250	0.811	64.008	717.500	190.000	90.895	58.054	1.022	0.978	0.964
134	2059.750	0.823	59.785	1558.500	208.000	150.433	49.508	1.166	0.858	0.974
135	758.250	0.771	41.527	1683.500	201.500	177.930	24.926	1.591	0.628	0.958
136	1330.250	0.739	52.652	2515.000	191.000	108.263	36.624	1.339	0.747	0.945
137	128.500	0.592	20.700	564.500	205.500	37.147	8.756	2.329	0.429	0.891
138	407.250	0.796	26.926	2368.000	209.500	15.068	22.603	1.167	0.857	0.940
139	1628.250	0.777	52.405	1740.000	231.000	37.635	43.532	1.044	0.958	0.934
140	64.250	0.614	15.008	2227.500	208.500	60.018	8.009	1.788	0.559	0.902
141	57.250	0.636	14.765	1608.000	197.000	151.699	6.311	2.235	0.447	0.876
142	1741.000	0.770	56.436	2085.000	223.500	172.875	44.970	1.106	0.904	0.959
143	286.750	0.665	26.043	2344.500	197.000	176.698	15.500	1.607	0.622	0.938
144	1268.250	0.763	54.452	512.000	202.000	134.256	33.629	1.553	0.644	0.963
145	4873.750	0.754	98.270	1890.500	270.500	31.264	72.081	1.285	0.778	0.940
146	1408.000	0.778	50.537	649.000	213.000	152.928	39.229	1.256	0.796	0.967
147	1417.500	0.792	55.268	1492.500	241.500	48.668	35.274	1.520	0.658	0.971
148	529.500	0.814	31.004	2202.000	224.500	37.794	24.134	1.132	0.883	0.964
149	2234.750	0.743	70.945	1264.000	209.500	166.551	45.454	1.513	0.661	0.971
150	759.500	0.814	39.246	1713.500	230.500	44.484	27.500	1.308	0.764	0.971
151	1155.250	0.757	44.060	2542.000	224.500	170.858	37.899	1.077	0.928	0.943
152	6195.250	0.752	108.812	978.000	296.000	53.973	74.644	1.418	0.705	0.952
153	541.500	0.747	34.224	1661.000	228.000	25.067	24.032	1.408	0.710	0.920
154	3092.750	0.788	76.919	2381.000	268.500	38.136	57.277	1.331	0.752	0.962
155	204.000	0.741	21.506	1616.000	225.000	72.408	13.000	1.416	0.706	0.947
156	776.000	0.643	48.708	562.000	206.500	95.301	19.759	2.551	0.392	0.958
157	176.250	0.617	23.901	594.000	217.000	15.781	13.605	1.616	0.619	0.898
158	1006.000	0.727	44.747	768.000	221.000	161.768	32.827	1.279	0.782	0.959
159	2788.000	0.781	75.745	2018.000	219.000	160.728	51.218	1.446	0.692	0.972
160	306.750	0.745	26.005	2227.500	210.000	142.028	17.225	1.360	0.735	0.952
161	1217.750	0.734	55.301	1538.500	209.500	127.284	30.743	1.741	0.574	0.950
162	455.750	0.696	35.756	1886.000	242.500	69.538	19.749	1.856	0.539	0.937
163	617.000	0.712	36.418	2885.500	245.000	81.314	26.650	1.330	0.752	0.946
164	577.000	0.740	33.049	621.000	241.500	72.387	28.306	1.163	0.860	0.937
165	3339.500	0.754	78.262	1228.000	280.000	63.435	63.576	1.025	0.976	0.949
166	650.000	0.739	36.841	1629.000	210.000	161.811	21.806	1.606	0.623	0.961
167	1301.500	0.816	49.862	2333.500	238.000	21.161	38.581	1.208	0.828	0.966
168	1005.750	0.694	50.894	422.500	221.500	169.242	26.172	2.022	0.495	0.961
169	715.500	0.625	48.094	1445.000	219.500	176.424	26.857	1.812	0.552	0.927
170	490.000	0.736	34.886	1972.000	235.500	27.300	22.572	1.421	0.704	0.939
171	655.000	0.678	41.908	634.500	214.500	125.776	25.019	1.735	0.576	0.957
172	690.250	0.683	41.548	753.000	214.500	92.759	23.510	1.709	0.585	0.944
173	463.250	0.750	29.741	1693.000	215.000	116.996	22.710	1.207	0.828	0.939
174	1194.750	0.691	53.928	262.000	237.500	17.259	35.331	1.489	0.672	0.938
175	796.000	0.775	38.539	2249.500	226.500	157.094	28.850	1.307	0.765	0.950
176	1615.500	0.834	51.442	567.500	256.000	21.077	43.959	1.096	0.912	0.969
177	2630.000	0.840	70.144	1398.500	242.000	176.322	52.035	1.218	0.821	0.975
178	1535.750	0.759	55.129	2442.500	221.500	141.259	35.616	1.487	0.672	0.966
179	535.750	0.778	34.132	2642.500	222.000	148.173	22.846	1.462	0.684	0.956
180	1124.500	0.802	44.255	2672.500	224.500	147.926	35.897	1.170	0.855	0.966
181	3091.000	0.767	75.804	68.000	293.500	79.357	57.481	1.250	0.800	0.966
182	576.500	0.786	31.847	2005.000	249.500	67.865	26.874	1.130	0.885	0.952
183	595.750	0.637	43.107	2308.000	246.500	37.933	23.373	1.760	0.568	0.948
184	448.250	0.619	36.125	2601.000	248.000	48.366	15.557	2.181	0.459	0.937
185	1141.750	0.780	45.607	2854.500	265.500	74.745	36.273	1.062	0.941	0.957
186	525.500	0.755	35.203	1622.000	256.500	78.530	22.413	1.557	0.642	0.933
187	397.500	0.752	29.129	2285.500	242.500	39.428	21.277	1.149	0.870	0.944
188	1027.000	0.612	58.125	951.500	258.000	35.194	25.164	1.944	0.514	0.958
189	945.000	0.681	48.169	97.500	228.500	170.440	28.334	1.492	0.670	0.956
190	607.000	0.740	34.670	2184.000	249.500	33.232	28.000	1.167	0.857	0.955
191	154.000	0.622	20.839	2226.000	226.000	120.256	9.180	2.324	0.430	0.901
192	3468.000	0.717	87.070	1299.000	297.500	39.174	56.635	1.564	0.639	0.938
193	1021.250	0.697	49.490	2135.500	234.500	161.748	34.784	1.373	0.728	0.957
194	408.250	0.663	35.672	2629.000	226.500	121.239	15.818	2.217	0.451	0.938
195	280.500	0.658	27.102	2233.500	232.000	150.124	16.616	1.489	0.671	0.889
196	5380.250	0.739	100.908	1093.000	306.000	36.132	77.980	1.317	0.759	0.957
197	308.000	0.743	25.928	1470.000	246.000	39.523	18.673	1.358	0.737	0.941
198	273.250	0.708	24.839	1656.000	252.000	49.899	17.396	1.423	0.703	0.930
199	872.500	0.648	51.906	2214.500	230.500	103.367	30.500	1.670	0.599	0.959
200	1170.500	0.782	46.487	2486.500	257.000	18.825	35.491	1.169	0.855	0.961
201	1180.000	0.729	47.289	464.000	239.000	146.646	33.860	1.304	0.767	0.944
202	2490.750	0.821	73.147	1713.500	231.500	118.142	48.800	1.495	0.669	0.968
203	626.250	0.710	38.059	1511.500	244.000	170.166	25.829	1.183	0.846	0.943
204	413.750	0.794	28.657	1634.500	232.000	132.879	20.736	1.314	0.761	0.947
205	1355.500	0.806	46.803	1673.500	233.500	130.668	40.977	1.116	0.896	0.965
206	1894.000	0.645	63.531	1756.000	286.500	35.066	48.973	1.377	0.726	0.874
207	1090.000	0.747	48.541	2575.000	278.500	65.019	32.746	1.425	0.702	0.961
208	3614.500	0.818	79.057	1832.500	298.500	55.305	63.255	1.142	0.876	0.968
209	3714.000	0.772	84.629	751.500	299.000	35.380	63.090	1.388	0.720	0.977
210	2754.250	0.784	74.636	395.500	262.000	176.543	50.767	1.524	0.656	0.974
211	1271.750	0.705	53.050	2818.000	236.000	101.416	33.491	1.469	0.681	0.960
212	313.750	0.673	30.037	2115.000	247.000	2.862	18.321	1.479	0.676	0.928
213	2042.250	0.802	65.073	1946.000	278.500	25.974	43.855	1.442	0.693	0.973
214	1569.750	0.710	61.190	659.500	249.500	161.417	35.911	1.738	0.575	0.934
215	674.000	0.710	43.177	2531.500	242.000	151.654	21.925	1.935	0.517	0.954
216	608.000	0.560	47.151	622.000	243.000	145.804	17.329	2.597	0.385	0.940
217	1940.250	0.820	56.661	2613.000	292.000	74.124	46.270	1.136	0.880	0.958
218	4565.250	0.827	85.920	242.500	316.500	45.707	74.223	1.105	0.905	0.977
219	49.000	0.702	11.424	616.500	238.500	113.199	6.500	1.563	0.640	0.905
220	2114.000	0.814	61.717	1573.000	287.000	49.600	49.000	1.027	0.974	0.962
221	642.750	0.766	36.401	2312.000	260.000	15.945	26.447	1.284	0.779	0.949
222	880.250	0.694	46.352	1269.500	241.000	113.523	28.196	1.344	0.744	0.953
223	1045.250	0.719	45.880	2022.000	241.500	106.460	34.888	1.312	0.762	0.956
224	302.000	0.740	26.443	2654.500	247.000	164.650	17.534	1.555	0.643	0.936
225	376.250	0.779	31.121	528.500	264.500	46.302	17.324	1.657	0.604	0.955
226	228.750	0.739	22.594	221.000	256.000	24.864	16.391	1.365	0.733	0.928
227	1057.250	0.725	50.629	1492.500	242.500	124.946	26.516	1.816	0.551	0.956
228	182.250	0.705	20.000	1387.000	246.500	143.130	12.335	1.446	0.692	0.920
229	52.000	0.568	14.142	2279.500	245.500	171.870	6.240	2.118	0.472	0.840
230	3749.750	0.759	86.904	2067.500	282.500	8.270	64.992	1.282	0.780	0.940
231	2185.000	0.728	66.635	2227.500	281.500	26.757	50.030	1.206	0.829	0.937
232	241.000	0.674	25.962	2286.000	257.500	15.642	13.312	1.937	0.516	0.941
233	150.750	0.637	20.248	2876.500	263.000	57.095	10.633	1.858	0.538	0.903
234	106.500	0.646	16.378	1817.000	262.500	77.661	10.402	1.353	0.739	0.898
235	288.750	0.669	28.504	2135.500	256.500	164.745	15.216	1.872	0.534	0.926
236	1530.750	0.733	54.113	2434.500	246.500	93.708	43.561	1.208	0.828	0.965
237	749.500	0.822	37.636	718.500	269.500	19.398	28.641	1.249	0.800	0.960
238	252.250	0.662	28.200	871.500	247.000	127.073	13.652	2.061	0.485	0.925
239	4259.250	0.835	85.747	1432.500	275.000	156.275	71.969	1.152	0.868	0.973
240	1232.000	0.684	54.233	821.500	250.000	161.732	31.668	1.639	0.610	0.944
241	397.000	0.755	31.484	1623.000	279.000	69.550	18.830	1.677	0.596	0.956
242	1488.750	0.779	56.573	2333.000	289.500	44.284	37.227	1.387	0.721	0.965
243	604.250	0.751	36.017	2682.500	264.000	13.650	21.350	1.538	0.650	0.946
244	2163.750	0.792	63.151	599.000	283.000	10.954	50.429	1.179	0.848	0.972
245	1986.500	0.825	58.945	1538.000	303.000	55.366	47.395	1.232	0.812	0.962
246	2381.000	0.776	70.059	2182.500	251.000	114.004	48.839	1.393	0.718	0.971
247	970.500	0.588	58.860	2805.000	309.500	83.660	24.650	2.270	0.441	0.950
248	526.250	0.804	30.696	2653.000	251.500	102.225	23.712	1.165	0.859	0.952
249	297.500	0.677	27.857	115.500	265.500	21.038	17.533	1.602	0.624	0.923
250	765.500	0.724	41.437	2514.000	273.000	171.674	27.295	1.310	0.763	0.952
251	2007.500	0.786	64.498	1653.000	317.000	82.875	43.199	1.418	0.705	0.974
252	297.750	0.686	28.377	2904.000	257.500	165.719	12.500	2.160	0.463	0.963
253	1470.250	0.729	58.962	2718.000	256.000	140.505	34.342	1.591	0.629	0.953
254	753.500	0.760	41.503	553.000	255.000	121.201	25.772	1.564	0.639	0.958
255	5826.750	0.786	108.057	1137.000	334.000	35.014	70.971	1.511	0.662	0.972
256	97.250	0.637	17.678	2668.500	265.500	28.740	8.452	2.296	0.436	0.896
257	528.750	0.752	33.560	130.000	287.000	56.547	24.000	1.403	0.713	0.956
258	2593.000	0.646	79.073	161.000	283.000	160.419	53.005	1.564	0.639	0.907
259	2200.000	0.734	67.685	1804.000	325.000	85.764	48.707	1.293	0.773	0.929
260	3275.750	0.795	75.314	2460.000	327.500	45.807	58.693	1.279	0.782	0.974
261	194.500	0.753	22.102	2889.500	275.000	52.352	13.493	1.595	0.627	0.938
262	4245.000	0.706	93.744	2285.500	258.500	123.690	62.946	1.347	0.742	0.925
263	479.750	0.803	29.262	1070.000	286.500	70.017	25.234	1.123	0.890	0.952
264	324.000	0.664	27.115	1401.000	286.000	84.710	19.871	1.384	0.723	0.922
265	2225.000	0.772	68.660	335.500	293.500	7.953	43.561	1.573	0.636	0.975
266	455.750	0.660	36.878	575.500	290.000	49.399	21.332	1.500	0.667	0.939
267	655.250	0.638	39.623	2161.000	301.000	79.824	28.204	1.418	0.705	0.924
268	278.750	0.731	26.077	2551.500	265.000	147.529	17.000	1.332	0.751	0.940
269	973.000	0.642	52.538	2836.500	282.500	8.207	27.315	1.833	0.546	0.954
270	1608.500	0.806	54.424	528.500	265.500	110.433	40.304	1.333	0.750	0.969
271	299.000	0.612	29.568	2042.000	264.000	108.741	17.599	1.823	0.549	0.918
272	281.250	0.703	26.519	2047.500	264.000	134.236	17.364	1.357	0.737	0.943
273	2606.750	0.709	77.708	2381.000	269.500	127.681	46.250	1.595	0.627	0.943
274	354.000	0.786	27.536	2668.000	266.500	150.642	18.888	1.342	0.745	0.949
275	2829.250	0.799	75.440	2907.000	336.500	70.244	53.194	1.364	0.733	0.980
276	1341.500	0.704	57.706	464.500	302.000	27.897	30.224	1.824	0.548	0.962
277	375.000	0.820	25.495	106.000	284.000	25.560	20.075	1.168	0.856	0.962
278	1130.000	0.743	53.782	2763.000	267.000	137.261	34.721	1.357	0.737	0.971
279	610.000	0.551	48.647	53.000	269.500	102.465	18.285	2.781	0.360	0.938
280	6745.250	0.681	128.004	629.000	362.000	45.950	77.654	1.759	0.569	0.917
281	1588.500	0.821	53.021	1703.500	270.000	91.621	40.769	1.101	0.908	0.969
282	516.250	0.546	42.362	1992.500	279.000	168.425	15.013	2.778	0.360	0.933
283	596.250	0.772	32.760	2692.000	281.000	164.055	26.249	1.117	0.895	0.953
284	713.000	0.699	42.901	440.000	302.000	36.469	24.827	1.760	0.568	0.958
285	1857.250	0.777	58.000	1881.500	320.500	43.603	44.166	1.186	0.843	0.964
286	1963.500	0.743	66.412	1228.000	314.000	26.372	43.622	1.493	0.670	0.953
287	790.500	0.712	44.102	297.500	303.500	32.969	29.010	1.475	0.678	0.961
288	1417.000	0.811	49.601	813.500	321.500	75.403	40.791	1.189	0.841	0.967
289	780.750	0.812	38.891	1054.000	273.500	98.130	28.409	1.256	0.796	0.957
290	123.750	0.484	23.259	2575.500	284.000	25.463	7.214	3.416	0.293	0.883
291	981.500	0.651	50.421	2507.500	324.500	82.593	25.903	1.786	0.560	0.950
292	550.250	0.721	34.442	724.000	277.500	140.301	22.107	1.383	0.723	0.956
293	763.750	0.793	38.668	1406.000	305.500	49.720	28.288	1.358	0.736	0.966
294	2599.500	0.731	72.443	1926.000	348.000	83.660	48.229	1.539	0.650	0.938
295	53.250	0.775	10.920	2660.500	281.500	164.055	8.000	1.187	0.843	0.891
296	911.500	0.699	42.547	1620.000	319.000	70.074	29.818	1.285	0.778	0.928
297	1277.000	0.678	51.580	6.000	303.000	163.673	40.090	1.062	0.942	0.953
298	395.500	0.662	34.015	2540.000	285.000	178.315	18.637	1.916	0.522	0.937
299	10.500	0.695	5.408	2570.000	281.000	146.310	3.718	1.374	0.728	0.816
300	1014.750	0.790	43.932	2643.000	280.000	101.821	31.751	1.331	0.751	0.940
301	3818.500	0.807	77.777	1958.000	339.000	30.522	66.376	1.080	0.926	0.978
302	423.250	0.787	27.281	1071.000	287.500	138.715	22.915	1.142	0.876	0.950
303	1057.250	0.776	47.794	2563.500	318.000	47.968	34.787	1.224	0.817	0.965
304	1206.750	0.796	44.142	2661.000	294.000	170.218	38.355	1.137	0.879	0.963
305	607.250	0.743	34.176	2216.000	308.000	20.556	27.363	1.101	0.908	0.951
306	384.000	0.637	33.838	2596.500	283.000	108.970	16.500	1.931	0.518	0.960
307	451.250	0.756	34.398	141.000	312.500	57.465	20.860	1.677	0.596	0.953
308	748.000	0.698	44.777	575.500	291.500	156.297	26.891	1.666	0.600	0.953
309	1167.000	0.799	46.739	2055.500	287.000	124.540	34.554	1.334	0.750	0.941
310	3690.500	0.715	95.662	2815.500	307.000	161.092	51.341	1.793	0.558	0.977
311	481.500	0.780	30.104	1511.000	287.500	147.894	23.665	1.261	0.793	0.951
312	1816.500	0.721	60.828	64.500	317.500	27.408	44.183	1.278	0.783	0.966
313	2917.750	0.711	76.815	407.000	356.500	66.606	62.573	1.201	0.832	0.939
314	1294.750	0.828	47.011	1748.500	296.500	156.161	37.830	1.230	0.813	0.967
315	40.250	0.714	9.849	2533.000	285.500	113.962	6.485	1.602	0.624	0.910
316	1004.250	0.713	44.637	2343.000	320.500	48.633	33.907	1.063	0.940	0.963
317	708.000	0.811	36.003	2034.500	288.000	127.666	28.986	1.175	0.851	0.965
318	924.750	0.714	45.177	2270.500	332.500	84.920	29.812	1.364	0.733	0.957
319	1177.500	0.672	60.141	100.500	333.500	47.021	27.929	1.996	0.501	0.969
320	2761.750	0.828	63.702	1565.000	293.500	137.545	58.476	1.054	0.949	0.964
321	1502.000	0.673	64.078	2373.500	288.000	112.964	36.265	1.767	0.566	0.965
322	471.000	0.682	36.087	2714.500	302.000	3.972	21.174	1.840	0.543	0.937
323	268.000	0.689	24.759	557.000	309.500	46.637	19.010	1.255	0.797	0.937
